,clean_text
815,gangsters dominate gaming chart video games on consoles and computers proved more popular than ever in . gamers spent more than £. in almost % more than they did in according to figures released by the uk gaming industry s trade body. sales records were smashed by the top title of the year gta: san andreas - in which players got the job of turning central character cj into a crime boss. the game sold more than million copies in the first nine days that it was on sale. this feat made it the fastest selling video game of all time in the uk. although only released in november the sprawling story of guns gangsters game beat off strong competition and by year end had sold more than . million copies. there were also records set for the number of games that achieved double-platinum status by selling more than copies. five titles including sony eyetoy play and ea s need for speed: underground managed this feat according to figures compiled by chart-track for the entertainment and leisure software publishers association (elspa). electronic arts the world s biggest games publisher had games in the top . was a stellar year said roger bennett director general of elspa. in a year with no new generation consoles being released the market continued to be buoyant as the industry matured and the increasingly diverse range of games reached new audiences and broadened its player base - across ages and gender he said. part of the success of games in could be due to the fact that so many of them are sequels. out of the top titles were all follow-ups to established franchises or direct sequels to previously popular games. halo the sims driver need for speed fifa football burnout were just a few that proved as popular as the original titles. despite this fondness for older games doom did not make it to the top . movie tie-ins also proved their worth in . games linked to shrek the incredibles spider-man harry potter and lord of the rings were all in the top . elspa noted that sales of xbox games rose .% during the year. however sony s playstation was the top seller with % of the £. spent on games in used to buy titles for that console. despite winning awards and rave reviews half-life did not appear in the list. this was because it was only released on pc and compared to console titles sold in relatively small numbers. also the novel distribution system adopted by developer valve meant that many players downloaded the title rather than travel to the shops to buy a copy. valve has yet to release figures which show how many copies of the game were sold in this way.
1137,d arcy injury adds to ireland woe gordon d arcy has been ruled out of the ireland team for saturday s six nations clash against scotland in murrayfield. like skipper brian o driscoll d arcy failed to recover from a hamstring injury. the side will now be led by munster lock paul o connell. shane horgan switches from wing to centre where he will be joined by ulster s kevin maggs. girvan dempsey comes into the team to take the right wing spot while gavin duffy is called up to the replacements. we gave gordon a chance but it didn t work out said ireland coach eddie o sullivan. in terms of the risk element it was a sensible precaution. he should be fine for the next game but we do not want to tempt fate. maggs who will win his cap was the obvious replacement at centre while shane horgan was always likely to be moved from the wing. the only other change to the ireland side from last weekend s win in rome sees wasps flanker johnny o connor replacing denis leamy. o connor will be winning his third cap after making his debut in the victory over south africa last november. : murphy dempsey horgan maggs hickie o gara stringer corrigan byrne hayes o kelly o connell capt s easterby o connor foley. : sheahan horan o callaghan miller g easterby humphreys duffy.
204,day-lewis set for berlin honour actor daniel day-lewis is to be presented with an award for his career in film at the berlin film festival. the -year-old whose credits include his oscar-winning performance in my left foot will be presented with the berlinale camera award on february. the honour awarded since honours figures in cinema that the festival feels particularly indebted to . man to man a historical epic starring kristin scott thomas opens the german festival on february. a candid documentary about the life and career of singer george michael a different story will also be screened at the -day event. day-lewis has competed four times at the berlin film festival with films in the name of the father () the crucible () the boxer () and martin scorsese s gangs of new york (). the festival praises him for his sensational start with roles in my beautiful launderette and costume classic a room with a view and a great number of celebrated roles in subsequent productions. japan s oldest film studio will also be honoured along with day-lewis. shochiku film studios which was founded years ago will become the first cinematic institution to receive the berlinale camera award. famous japanese directors including akira hurosawa have had films produced at the studio.
1230,asia quake increases poverty risk nearly two million people across asia could be thrown into poverty because of the indian ocean tsunami the asian development bank (adb) has said. in its first overview of the disaster the adb said the impact on economic growth would be slight because major cities and factories escaped damage. but the blow to many low-income people could be enormous . the paris club of rich creditor nations on wednesday offered to freeze debts owed by tsunami-hit countries. the move was aimed at helping south asian governments find budgets to rebuild devastated coastal areas though so far only sri lanka indonesia and the seychelles have indicated that they will take it up. other countries believe their economies are strong enough to cope or wish to avoid being viewed as credit risks. poverty is potentially the most important impact of this natural disaster said adb chief economist ifzal ali. donor nations have promised to give $ (£) in disaster relief over the next six months according to the united nations. mr ali added his voice to those warning that aid pledges must be promptly delivered saying the number of people at risk of poverty hinged on concerns over sanitation and health conditions and other basic needs being properly and quickly addressed . there are . billion people in asia living on less than $ a day. the adb fears that million indonesians could join them while in india just over half a million people - - are at risk of falling into poverty. a quarter of a million sri lankans and people in the maldives are also facing poverty. in the maldives where % of the population already lives on less than $ a day this could rise to half. sri lanka and the maldives are the two countries the adb fears are most at risk of suffering lasting economic damage from the tsunami. sri lanka s government has estimated reconstruction costs at nearly $. a government task force held meetings to discuss an emergency rebuilding plan with the adb world bank and japanese aid agencies on wednesday and promised to publish the plan within days. indonesia malaysia thailand and india have enjoyed strong economic growth in recent years which should cushion them against reconstruction costs. although indonesia s northern province of aceh suffered the worst death toll the region s oil and natural gas production facilities have survived intact the report said. however it remains too soon to asses the damage to poor people s livelihoods in aceh because it would depend on how much farm land had been flooded by seawater. this is a profoundly tragic event for the region and for the millions who are suffering. but the economies of the affected countries except sri lanka and the maldives should emerge with minimal damage the adb report said. some businesses may even gain from the reconstruction efforts thereby creating jobs. at a meeting in thailand abd president thadao chino said he was confident of the country s own capabilities to restore normalcy to the affected areas and meet the rehabilitation requirements . thailand has said it does not wish to opt for a debt repayment freeze while india has also rejected international aid saying it can cope on its own resources. debt repayment holidays carry the risk of credit ratings downgrades making it more expensive to borrow money in future. indonesia however is pressing for greater help with its debts than the current freeze would bring. it is one of the world s most indebted countries.
145,industrial output falls in japan japanese industrial output fell in october while unemployment rose casting further doubt on the strength of the country s economic recovery. production dropped .% in october reflecting a decline in exports while unemployment levels edged up .% to .% slightly higher than forecast. the economy has grown for six quarters but growth slowed dramatically in the last quarter amid weaker global demand. japan s government remains optimistic due to strong domestic demand. analysts had been forecasting a .% rise in month on month industrial output. according to figures from the ministry of economy trade and industry (meti) the decline was led by a fall in demand for electronic parts for mobile phones and digital televisions. although inventories fell .% month on month they were % higher than a year ago. it s a sign that the economy s adjustment phase is stronger than expected said takashi yamanaka an economist with ufj bank. japan downgraded its overall economic assessment earlier this month for the first time in a year. growth slowed to .% in the quarter ending september down from .% in the first quarter of . experts believe the economy -which stagnated for most of the -may be entering a softer patch on the back of rising oil prices and the falling dollar. japanese government officials played down the latest data arguing that domestic consumer demand was still resilient. the outlook for november is positive so i don t think one can say that conditions have worsened just because of the fall in october said a meti official. despite the rise in unemployment jobless figures are still some way below historical highs of recent years. the comparatively weak economic date preyed on shares with the nikkei down % in afternoon trade.
1303,gamer buys $ virtual land a -year-old gamer has spent $ (£ ) on an island that exists only in a computer role-playing game (rpg). the australian gamer known only by his gaming moniker deathifier bought the island in an online auction. the land exists within the game project entropia an rpg which allows thousands of players to interact with each other. entropia allows gamers to buy and sell virtual items using real cash while fans of other titles often use auction site ebay to sell their virtual wares. earlier this year economists calculated that these massively multi-player online role-playing games (mmorpgs) have a gross economic impact equivalent to the gdp of the african nation of namibia. this is a historic moment in gaming history and this sale only goes to prove that massive multi-player online gaming has reached a new plateau said marco behrmann director of community relations at mindark the game s developer. the virtual island includes a gigantic abandoned castle and beautiful beaches which are described as ripe for developing beachfront property. deathifier will make money from his investment as he is able to tax other gamers who come to his virtual land to hunt or mine for gold. he has also begun to sell plots to people who wish to build virtual homes. this type of investment will definitely become a trend in online gaming said deathifier. the entopia economy lets gamers exchange real currency into ped (project entropia dollars) and back again into real money. ten peds are the equivalent to one us dollar and typical items sold include iron ingots ($) and shogun armour ($.) gamers can theoretically earn money by accumulating peds through the acquisition of goods buildings and land in the entropia universe. mmorpgs have become enormously popular in the last years with hundreds of thousands of gamers living out alternate lives in fantasy worlds. almost people are registered players on project entropia.
312,incredibles win animation awards the incredibles movie has beaten shrek to the main prizes at hollywood s animation awards the annies. the superhero film was named best animated feature while brad bird won best director writer and voice actor for his role as designer edna mode. the incredibles won a total of awards - but shrek which had seven nominations went home empty-handed. the two movies will compete with shark tale in the best animated film category of the oscars at the end of february. the incredibles awards came despite shrek s greater box office success. shrek took $ (£) around the world compared with $ (£) for the incredibles. spongebob squarepants was named best animated tv show while tv comedy king of the hill picked up two prizes including one for actress brittany murphy s voice work. tom kenny who provides the voice for spongebob squarepants hosted sunday s ceremony at the alex theater los angeles. the awards are handed out by the international animated film society. finding nemo won nine annies last year.
344,senior fannie mae bosses resign the two most senior executives at us mortgage giant fannie mae have resigned after accounting irregularities were uncovered at the company. chief executive franklin raines a former senior official in the clinton administration and chief financial officer tim howard have left the firm. fannie mae was criticised by financial regulators and could have to restate its earnings by up to $ (£.). it is america s second largest financial institution. recent investigations have exposed extensive accounting errors at fannie mae which supplies funds to america s $ trillion mortgage market. last week the firm was admonished by the securities and exchange commission which said it had made major errors in its financial reporting. the financial regulator said fannie mae would have to raise substantial new capital to restore its balance sheet. analysts said the sec s criticism made it impossible for fannie mae s senior executives to remain. mr raines head of the office of management and budget under president clinton has taken early retirement while mr howard has also stepped down the company said on tuesday. kpmg fannie mae s independent auditor will also be replaced. by my early retirement i have held myself accountable mr raines said in a statement. fannie mae was found to have violated accounting rules relating to derivatives - financial instruments used to hedge against fluctuations in interest rates - and some pre-paid loans. as a result it could be forced to restate $ in earnings over the past four years effectively wiping out a third of the company s profits since . although not making loans directly to buyers fannie mae is the largest single player in the mortgage market underwriting half of all us house purchases. the firm operates under charter from the us congress. it has faced stinging criticism from congressional leaders who held hearings into its finances earlier this year and from government regulator the office of federal housing enterprise oversight (ofheo). we are encouraged that the board s announcement signals a new culture and a new direction for fannie mae armando falcon ofheo director said. the problems afflicting fannie mae are just the latest to hit the us mortgage industry. freddie mac the country s other largest mortgage firm was forced to restate its earnings by $. last year and pay a $ fine after an investigation of its books.
548,lib dems unveil women s manifesto the liberal democrats are attempting to woo female voters with the launch of their manifesto for women. charles kennedy is pledging a maternity income guarantee and a pension system based on years of residence rather than national insurance payments. he also thinks women will back plans to end university tuition fees and for free long-term care for the elderly. both labour and the conservatives have said they also plan to boost pensions and to improve childcare support. mr kennedy says he wants to deal with policy areas that disadvantage women. two million pensioners in britain currently live below the government s own poverty line - two-thirds of whom are women he said. he says that pensions based on the number of years worked ignore the contribution women make caring for children. the lib dem s citizen s pension based on length of residency not on national insurance contributions would address that imbalance mr kennedy argues. under the package new mothers would be offered minimum guaranteed maternity pay of £ a week for the first six months after the birth of their first child. mr kennedy also believes the party s plans to use the money saved from not introducing illiberal id cards to boost police numbers by would appeal to women too. the policies are not new announcements but the way they are structured as a package to appeal to women is. mr kennedy also points to the fact that % of the party s candidates set to stand in winnable or target seats are women. party strategists claim that where women candidates replace men turnout rises by %. mr kennedy began the pitch for female support with an interview on bbc radio s women s hour on monday. during the interview mr kennedy revealed that he planned to structure the party s general election campaign around the birth of his first child which is expected in april. the baby and his wife sarah would be priority number one even if it arrived in the middle of the election campaign he said. party strategists believe winning over a significant proportion of women voters is key to electoral success. a party spokesman said it was courting female votes because they tended to vote more than men and are believed to be more considered and open-minded in deciding who they vote for. labour s deputy minister for women jacqui smith accused the lib dems of offering false promises to women and said their sums did not add up. she said: these proposals would increase the costs to the public purse drastically year on year and hard working families will pay dearly through either increased taxes or reduced spending on public services . the labour party has committed itself to universal affordable and flexible childcare for parents of all to year-olds including childcare centred on schools to be available from to . in september trade and industry secretary patricia hewitt said she would like to see longer paid maternity leave higher paternity pay and the extension of flexible working rights to carers if labour won a third term. the conservatives are yet to unveil their manifesto plans for childcare but said in november they would increase maternity pay and pay the child tax credit in cash to parents to spend as they like on a nanny au pair or even a family member such as a grandparent acting as a carer. they were also consulting on making childcare costs tax deductible.
1941,liverpool revel in night of glory liverpool manager rafael benitez said their qualification for the next stage of the champions league was one of the proudest nights of my career. the reds beat olympiakos - with a late steven gerrard strike and benitez said: it was a really great night. the players ran hard all the time and you see how much it means to the fans. we knew before the game that it was very important for the club to gain these extra finances. for liverpool this result is very very important. benitez hailed gerrard for his match-winning strike four minutes from time and also the anfield crowd for sticking by their side after they had fallen a goal behind at the interval. the reds scored three second-half goals in a sensational comeback capped by gerrard s -yard drive. he added: steven can play all over the pitch and he influences every part of the game. i have said to him many times that he has the freedom because he has talent and is very important to us. i felt that the difference between the sides was really our supporters i cannot thank them enough. i want to say thank-you to the supporters they were magnificent to help us achieve this result. gerrard admitted he thought they were going out of the champions league after trailing - at half-time. he said: i d be lying if i thought we were going through when we were losing at half-time. we had a mountain to climb but we have climbed it and credit to everyone. that was one of the best goals i have scored i caught it sweet i haven t caught one like that for ages. it was a massive night for me and the team. liverpool s win means all four of england s champions league representatives have reached the knockout stages for the first time.
